DateTime,Site,Gear,Temperature (C),Temperature (F),Number,
2021-07-06 17:30:00,HI,Net_Top,13.65,56.58,11,https://docs.google.com/spreadsheets/d/1ypLvHTFKkWwd4YGyt76nUd1Nm3sjX2TbzbU2zx1qhuI/edit#gid=497784821
2021-07-06 18:00:00,HI,Net_Top,13.56,56.40,11,
2021-07-06 18:30:00,HI,Net_Top,13.46,56.23,11,
2021-07-06 19:00:00,HI,Net_Top,13.37,56.06,11,
2021-07-06 19:30:00,HI,Net_Top,13.27,55.88,11,
2021-07-06 20:00:00,HI,Net_Top,13.27,55.88,11,
2021-07-06 20:30:00,HI,Net_Top,13.27,55.88,11,
2021-07-06 21:00:00,HI,Net_Top,13.08,55.54,11,
2021-07-06 21:30:00,HI,Net_Top,12.88,55.19,11,
2021-07-06 22:00:00,HI,Net_Top,12.98,55.36,11,
2021-07-06 22:30:00,HI,Net_Top,13.08,55.54,11,
2021-07-06 23:00:00,HI,Net_Top,13.27,55.88,11,
2021-07-06 23:30:00,HI,Net_Top,13.17,55.71,11,
2021-07-07 00:00:00,HI,Net_Top,13.27,55.88,11,
2021-07-07 00:30:00,HI,Net_Top,13.37,56.06,11,
2021-07-07 01:00:00,HI,Net_Top,13.27,55.88,11,
2021-07-07 01:30:00,HI,Net_Top,13.27,55.88,11,
2021-07-07 02:00:00,HI,Net_Top,13.37,56.06,11,
2021-07-07 02:30:00,HI,Net_Top,13.27,55.88,11,
2021-07-07 03:00:00,HI,Net_Top,13.27,55.88,11,
2021-07-07 03:30:00,HI,Net_Top,13.27,55.88,11,
2021-07-07 04:00:00,HI,Net_Top,13.27,55.88,11,
2021-07-07 04:30:00,HI,Net_Top,13.27,55.88,11,
2021-07-07 05:00:00,HI,Net_Top,13.27,55.88,11,
2021-07-07 05:30:00,HI,Net_Top,13.27,55.88,11,
2021-07-07 06:00:00,HI,Net_Top,13.37,56.06,11,
2021-07-07 06:30:00,HI,Net_Top,13.37,56.06,11,
2021-07-07 07:00:00,HI,Net_Top,13.37,56.06,11,
2021-07-07 07:30:00,HI,Net_Top,13.46,56.23,11,
2021-07-07 08:00:00,HI,Net_Top,13.56,56.40,11,
2021-07-07 08:30:00,HI,Net_Top,13.56,56.40,11,
2021-07-07 09:00:00,HI,Net_Top,13.65,56.58,11,
2021-07-07 09:30:00,HI,Net_Top,13.56,56.40,11,
2021-07-07 10:00:00,HI,Net_Top,13.46,56.23,11,
2021-07-07 10:30:00,HI,Net_Top,14.13,57.44,11,
2021-07-07 11:00:00,HI,Net_Top,14.23,57.61,11,
2021-07-07 11:30:00,HI,Net_Top,14.04,57.27,11,
2021-07-07 12:00:00,HI,Net_Top,13.94,57.10,11,
2021-07-07 12:30:00,HI,Net_Top,13.94,57.10,11,
2021-07-07 13:00:00,HI,Net_Top,14.13,57.44,11,
2021-07-07 13:30:00,HI,Net_Top,14.42,57.96,11,
2021-07-07 14:00:00,HI,Net_Top,14.13,57.44,11,
2021-07-07 14:30:00,HI,Net_Top,14.13,57.44,11,
2021-07-07 15:00:00,HI,Net_Top,14.13,57.44,11,
2021-07-07 15:30:00,HI,Net_Top,13.94,57.10,11,
2021-07-07 16:00:00,HI,Net_Top,13.94,57.10,11,
2021-07-07 16:30:00,HI,Net_Top,13.85,56.92,11,
2021-07-07 17:00:00,HI,Net_Top,14.04,57.27,11,
2021-07-07 17:30:00,HI,Net_Top,13.94,57.10,11,
2021-07-07 18:00:00,HI,Net_Top,13.85,56.92,11,
2021-07-07 18:30:00,HI,Net_Top,13.85,56.92,11,
2021-07-07 19:00:00,HI,Net_Top,13.85,56.92,11,
2021-07-07 19:30:00,HI,Net_Top,13.75,56.75,11,
2021-07-07 20:00:00,HI,Net_Top,13.56,56.40,11,
2021-07-07 20:30:00,HI,Net_Top,13.56,56.40,11,
2021-07-07 21:00:00,HI,Net_Top,13.27,55.88,11,
2021-07-07 21:30:00,HI,Net_Top,13.17,55.71,11,
2021-07-07 22:00:00,HI,Net_Top,13.17,55.71,11,
2021-07-07 22:30:00,HI,Net_Top,13.65,56.58,11,
2021-07-07 23:00:00,HI,Net_Top,13.65,56.58,11,
2021-07-07 23:30:00,HI,Net_Top,13.56,56.40,11,
2021-07-08 00:00:00,HI,Net_Top,13.37,56.06,11,
2021-07-08 00:30:00,HI,Net_Top,13.37,56.06,11,
2021-07-08 01:00:00,HI,Net_Top,13.37,56.06,11,
2021-07-08 01:30:00,HI,Net_Top,13.27,55.88,11,
2021-07-08 02:00:00,HI,Net_Top,13.27,55.88,11,
2021-07-08 02:30:00,HI,Net_Top,13.27,55.88,11,
2021-07-08 03:00:00,HI,Net_Top,13.27,55.88,11,
2021-07-08 03:30:00,HI,Net_Top,13.17,55.71,11,
2021-07-08 04:00:00,HI,Net_Top,13.27,55.88,11,
2021-07-08 04:30:00,HI,Net_Top,13.27,55.88,11,
2021-07-08 05:00:00,HI,Net_Top,13.27,55.88,11,
2021-07-08 05:30:00,HI,Net_Top,13.27,55.88,11,
2021-07-08 06:00:00,HI,Net_Top,13.27,55.88,11,
2021-07-08 06:30:00,HI,Net_Top,13.27,55.88,11,
2021-07-08 07:00:00,HI,Net_Top,13.27,55.88,11,
2021-07-08 07:30:00,HI,Net_Top,13.27,55.88,11,
2021-07-08 08:00:00,HI,Net_Top,13.27,55.88,11,
2021-07-08 08:30:00,HI,Net_Top,13.27,55.88,11,
2021-07-08 09:00:00,HI,Net_Top,13.46,56.23,11,
2021-07-08 09:30:00,HI,Net_Top,13.37,56.06,11,
2021-07-08 10:00:00,HI,Net_Top,13.08,55.54,11,
2021-07-08 10:30:00,HI,Net_Top,13.08,55.54,11,
2021-07-08 11:00:00,HI,Net_Top,13.08,55.54,11,
2021-07-08 11:30:00,HI,Net_Top,13.27,55.88,11,
2021-07-08 12:00:00,HI,Net_Top,13.37,56.06,11,
2021-07-08 12:30:00,HI,Net_Top,13.37,56.06,11,
2021-07-08 13:00:00,HI,Net_Top,13.46,56.23,11,
2021-07-08 13:30:00,HI,Net_Top,12.88,55.19,11,
