ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-09-11T14:00:00.000,3.73,257.59,-0.80,-3.64
2023-09-11T14:10:00.000,3.45,239.55,-1.75,-2.97
2023-09-11T14:20:00.000,4.01,249.04,-1.43,-3.74
2023-09-11T14:30:00.000,3.46,242.61,-1.59,-3.07
2023-09-11T14:40:00.000,2.63,225.88,-1.83,-1.89
2023-09-11T14:50:00.000,3.42,245.14,-1.44,-3.11
2023-09-11T15:00:00.000,3.45,266.36,-0.22,-3.45
2023-09-11T15:10:00.000,2.97,225.36,-2.08,-2.11
2023-09-11T15:20:00.000,3.10,198.70,-2.94,-0.99
2023-09-11T15:30:00.000,2.52,34.84,2.07,1.44
2023-09-11T15:40:00.000,2.25,359.08,2.25,-0.04
2023-09-11T15:50:00.000,3.37,117.84,-1.58,2.98
2023-09-11T16:00:00.000,2.43,183.08,-2.43,-0.13
2023-09-11T16:10:00.000,2.61,152.98,-2.33,1.19
2023-09-11T16:20:00.000,2.98,165.83,-2.89,0.73
2023-09-11T16:30:00.000,1.68,185.79,-1.68,-0.17
2023-09-11T16:40:00.000,1.85,316.59,1.34,-1.27
2023-09-11T16:50:00.000,2.32,216.77,-1.86,-1.39
2023-09-11T17:00:00.000,2.37,215.78,-1.93,-1.39
2023-09-11T17:10:00.000,1.45,320.26,1.12,-0.93
2023-09-11T17:20:00.000,0.61,313.32,0.42,-0.44
2023-09-11T17:30:00.000,2.40,5.74,2.39,0.24
2023-09-11T17:40:00.000,3.35,255.67,-0.83,-3.24
2023-09-11T17:50:00.000,2.99,283.43,0.69,-2.91
2023-09-11T18:00:00.000,2.64,268.67,-0.06,-2.64
2023-09-11T18:10:00.000,2.37,103.93,-0.57,2.30
2023-09-11T18:20:00.000,2.92,228.00,-1.95,-2.17
2023-09-11T18:30:00.000,1.89,216.07,-1.53,-1.11
2023-09-11T18:40:00.000,2.31,218.34,-1.81,-1.43
2023-09-11T18:50:00.000,2.09,232.51,-1.27,-1.66
2023-09-11T19:00:00.000,0.96,191.67,-0.94,-0.19
2023-09-11T19:10:00.000,3.21,281.15,0.62,-3.15
2023-09-11T19:20:00.000,2.86,345.11,2.76,-0.73
2023-09-11T19:30:00.000,3.55,324.31,2.88,-2.07
2023-09-11T19:40:00.000,3.39,331.79,2.98,-1.60
2023-09-11T19:50:00.000,2.50,234.08,-1.46,-2.02
2023-09-11T20:00:00.000,1.95,243.63,-0.87,-1.75
2023-09-11T20:10:00.000,3.12,214.35,-2.58,-1.76
2023-09-11T20:20:00.000,1.90,160.70,-1.80,0.63
2023-09-11T20:30:00.000,3.84,221.82,-2.86,-2.56
2023-09-11T20:40:00.000,0.90,136.72,-0.65,0.62
2023-09-11T20:50:00.000,0.68,157.33,-0.63,0.26
2023-09-11T21:00:00.000,4.12,210.30,-3.56,-2.08
2023-09-11T21:10:00.000,1.94,184.55,-1.94,-0.15
2023-09-11T21:20:00.000,1.99,229.98,-1.28,-1.52
2023-09-11T21:30:00.000,2.16,261.02,-0.34,-2.14
