Date,avg_speed,avg_nvelocity,avg_evelocity,max_speed,max_nvelocity,max_evelocity,min_speed,min_nvelocity,min_evelocity
2023-08-29,4.376666666666667,0.8445833333333334,0.6829166666666666,15.67,11.04,15.61,0.63,-6.29,-4.58
2023-08-30,4.696736111111111,-0.6015972222222222,0.5230555555555555,13.32,8.23,13.16,0.4,-9.17,-6.5
2023-08-31,5.1159027777777775,0.9664583333333333,0.11701388888888888,17.61,12.13,14.5,0.34,-7.85,-12.76
2023-09-01,4.9631944444444445,0.13416666666666668,0.909375,23.06,11.51,19.98,0.75,-6.2,-12.17
2023-09-02,4.875277777777778,0.20409722222222224,1.3445833333333332,17.96,14.12,15.1,0.28,-7.91,-11.11
2023-09-03,5.383541666666667,1.1154861111111112,1.5974305555555555,22.24,9.87,22.23,0.77,-13.18,-11.84
2023-09-04,4.877291666666666,0.6604861111111111,1.572638888888889,16.82,6.15,16.07,0.33,-7.73,-8.68
2023-09-05,5.038263888888889,0.36319444444444443,1.1153472222222223,15.55,10.08,14.81,0.8,-7.31,-11.39
2023-09-06,3.970902777777778,0.07708333333333334,0.8370138888888888,13.04,7.44,13.04,0.4,-5.59,-9.33
2023-09-07,4.054027777777778,0.6452083333333334,0.9753472222222223,16.22,8.08,12.93,0.15,-9.79,-4.46
2023-09-08,3.0472916666666667,0.17722222222222223,0.7125,10.31,7.41,10.02,0.17,-5.63,-3.43
2023-09-09,3.0143055555555556,0.13104166666666667,1.3425694444444445,14.65,8.09,14.61,0.04,-3.64,-4.03
2023-09-10,3.2219444444444445,0.233125,0.7334027777777777,15.63,4.22,15.62,0.15,-5.61,-5.56
2023-09-11,3.214259259259259,0.1640740740740741,-0.12166666666666669,6.88,4.63,6.57,0.22,-4.05,-4.17
