Year,Site,max_f,max_c,date
2019,HI,59.70234375,15.390677083333333,2019-09-09
2020,HI,60.745416666666664,15.96875,2020-08-15
2020,NH,59.8225,15.456458333333334,2020-08-20
2020,ST,59.092,15.052,2020-08-12
2021,HI,60.41020833333334,15.784583333333334,2021-08-31
2021,NH,60.92458333333333,16.07,2021-09-02
2021,ST,60.429375,15.795416666666666,2021-09-25
2022,HI,61.370555555555555,16.317222222222224,2022-08-30
2022,NH,61.5,16.387916666666666,2022-09-01
2022,ST,62.48520833333333,16.934375,2022-09-14
